year,onRamp,offRamp,targetRM,costUSD,notes
2022,,,,,No Cool Mix flows implemented
2023,,,,,No Cool Mix flows implemented
2024,7/9/2024,11/18/2024,61,18970416,First year of implementation. Target RM61 (protects Lees Ferry + first 75 mi below GCD). ROD signed July 3 2024; triggered when 3-day avg temp at RM61 exceeded 15.5C. Cost per LTEMP SEIS Cool Mix Flow Summary Report table 5.
2025,8/3/2025,10/20/2025,30,6500000,Target river mile moved to RM30. Dates and cost per Jen's slide (Smallmouth Bass Flows July 2026).
2026,,,,,
